cell_type,symbol,log2FoldChange,padj
fibroblast of lung,Bin3,-1.876470106957504,0.001843927810992529
myeloid dendritic cell,Serpinb1a,8.234367169228411,7.004830934109653e-07
myeloid dendritic cell,Ly6a,6.296416745243081,2.3348795224272137e-06
myeloid dendritic cell,Hist1h4i,7.6765378231255195,6.573689465072558e-05
myeloid dendritic cell,Ssbp4,1.6453661415509155,7.702591561958081e-05
myeloid dendritic cell,Dnalc4,5.770916717064113,0.00013126403504800567
myeloid dendritic cell,Rhbg,-13.538666444838244,0.00015109798787665664
myeloid dendritic cell,Rem1,8.829385886000674,0.00015109798787665664
myeloid dendritic cell,Tfe3,3.3042612270931215,0.000625512513672605
myeloid dendritic cell,Gss,7.197473862446397,0.0008646194409926069
myeloid dendritic cell,Hpgds,3.1091844658440686,0.0008646194409926069
myeloid dendritic cell,Zfp212,5.464665271037393,0.001485695318029244
myeloid dendritic cell,Ddr1,6.665922877214833,0.001485695318029244
myeloid dendritic cell,Surf6,3.7038797254519458,0.001485695318029244
myeloid dendritic cell,Cep110,2.3725706083546174,0.001485695318029244
myeloid dendritic cell,Klra17,8.606575444309634,0.0034030820485626105
myeloid dendritic cell,Ncdn,10.250311100128066,0.0034030820485626105
myeloid dendritic cell,Pcolce,-9.16088857792107,0.0034030820485626105
myeloid dendritic cell,Elp4,6.925132155653405,0.007282190774553128
myeloid dendritic cell,Ncoa3,-1.712755238979743,0.007282190774553128
myeloid dendritic cell,Fabp5,7.498859951114305,0.007282190774553128
non-classical monocyte,Clp1,-10.54920897465649,6.3883678154459225e-09
non-classical monocyte,Slc25a45,5.907008863604524,4.494561970051815e-08
non-classical monocyte,Elp2,9.088484172833429,1.2424400926490777e-07
non-classical monocyte,Ikbke,11.245456337892346,5.075377800045933e-07
non-classical monocyte,Tjap1,-10.526455153746111,5.075377800045933e-07
non-classical monocyte,AI987944,10.07911992862379,5.075377800045933e-07
non-classical monocyte,Itpkb,-10.321102282470303,6.597223378272867e-07
non-classical monocyte,Cldn20,-11.657188206206168,8.086660897927192e-06
non-classical monocyte,Rtcd1,8.575495131633852,8.127089550033242e-06
non-classical monocyte,Taf8,-11.010958959101995,8.127089550033242e-06
non-classical monocyte,Keap1,7.779064400486183,1.8412312012179618e-05
non-classical monocyte,Edc4,10.297237829433326,3.423219004879102e-05
non-classical monocyte,Rdh13,9.420902864934432,4.7302617729724186e-05
non-classical monocyte,Phka2,4.7347894132177695,4.862436616888651e-05
non-classical monocyte,Il27,11.676523740428298,4.862436616888651e-05
non-classical monocyte,Stat2,8.165087583922888,4.862436616888651e-05
non-classical monocyte,Rtf1,3.7737435170646076,6.612901293644169e-05
non-classical monocyte,Ankra2,3.739846048127533,7.220907997857739e-05
non-classical monocyte,Osm,-9.309839940513703,7.955564456893533e-05
non-classical monocyte,Vasp,3.070832168529736,0.00012367604432083972
smooth muscle cell of the pulmonary artery,Igfbp7,4.9621165873788895,2.2258863116827205e-11
smooth muscle cell of the pulmonary artery,Cd300lg,11.173465951212119,2.922883103225048e-10
smooth muscle cell of the pulmonary artery,Dag1,8.759369314153808,2.922883103225048e-10
smooth muscle cell of the pulmonary artery,Myo10,9.645540873227143,2.922883103225048e-10
smooth muscle cell of the pulmonary artery,Hspa4l,9.909625310068725,8.054560993114848e-08
smooth muscle cell of the pulmonary artery,Gm7609,9.515478798681238,1.0131363869074943e-07
smooth muscle cell of the pulmonary artery,Caprin1,6.22938940132191,1.0904173338562426e-06
smooth muscle cell of the pulmonary artery,1810011O10Rik,11.674608272181136,1.1715431786617244e-06
smooth muscle cell of the pulmonary artery,N4bp1,7.224993349431843,1.946935608053709e-06
smooth muscle cell of the pulmonary artery,Csnk1g3,6.755477762991667,2.454352216200772e-06
smooth muscle cell of the pulmonary artery,Gbf1,8.90043543944718,2.9433942603467164e-06
smooth muscle cell of the pulmonary artery,Ralgds,5.460241718275979,8.365372235934e-06
smooth muscle cell of the pulmonary artery,Rabep2,6.151245317194034,9.973330887928948e-06
smooth muscle cell of the pulmonary artery,Aqp1,2.949477850734947,1.0281595486001208e-05
smooth muscle cell of the pulmonary artery,Trmt2a,6.735464409393916,1.063295783502648e-05
smooth muscle cell of the pulmonary artery,Rab19,-13.018712338018426,1.4353514215856742e-05
smooth muscle cell of the pulmonary artery,Slc6a6,4.16823437838798,1.7287239134619484e-05
smooth muscle cell of the pulmonary artery,Lrg1,11.524706050389474,1.7287239134619484e-05
smooth muscle cell of the pulmonary artery,Pcm1,7.968302877643033,2.34291287975242e-05
smooth muscle cell of the pulmonary artery,Npr3,8.014691877315109,3.6390278156003787e-05
type II pneumocyte,Zfp12,-9.01445442987759,3.983046710859098e-08
type II pneumocyte,Fiz1,-10.458816307415653,3.377992081053916e-06
type II pneumocyte,Pip5k1c,-8.847652707111209,4.239650329471524e-06
type II pneumocyte,Pom121,-6.774677727470205,5.569149687520672e-06
type II pneumocyte,Cstf1,-8.402062996962767,9.708714237076874e-06
type II pneumocyte,Sco1,-7.108244759422405,1.5853888701667316e-05
type II pneumocyte,Parp2,-7.820236953213636,1.711914891734799e-05
type II pneumocyte,Samd4,-7.668590149232749,3.4404760937639205e-05
type II pneumocyte,Ehd1,4.154519330468401,3.4404760937639205e-05
type II pneumocyte,Tfip11,-6.726530979315984,3.4404760937639205e-05
type II pneumocyte,Hectd3,-10.113955870086171,3.4404760937639205e-05
type II pneumocyte,Cfl1,2.0373244193687188,5.3904355951421364e-05
type II pneumocyte,Phlda3,8.087213356808785,5.3904355951421364e-05
type II pneumocyte,Ctf1,-10.944267512881066,5.3904355951421364e-05
type II pneumocyte,Gorasp1,-7.441830369476541,5.3904355951421364e-05
type II pneumocyte,Cfb,10.078890606336753,5.3904355951421364e-05
type II pneumocyte,Rnf139,-4.344033114517125,5.3904355951421364e-05
type II pneumocyte,Fam13a,-11.76909841266254,5.3904355951421364e-05
type II pneumocyte,Glg1,-3.36283782225608,5.3904355951421364e-05
type II pneumocyte,Ankmy2,-3.398526586545716,8.025143704802128e-05
vein endothelial cell,D5Ertd605e,43.2808512266689,5.495997266299899e-35
vein endothelial cell,Dpp8,8.68437094954895,5.8038443989935406e-06
vein endothelial cell,Pvrl3,8.300547969374422,0.0012197373214183202
vein endothelial cell,Stxbp1,5.242856856415327,0.0012197373214183202
vein endothelial cell,Zfp608,8.052309911807773,0.0013164955523168348
vein endothelial cell,Nipbl,4.931144312964221,0.0015851423028597279
vein endothelial cell,Zcchc11,9.145760531087056,0.0022101172695156985
vein endothelial cell,Ppm1m,11.28360716360315,0.0022101172695156985
vein endothelial cell,Cdc23,9.390425028861081,0.0022146786196637486
vein endothelial cell,Gak,5.395921227090052,0.003477895264186134
vein endothelial cell,Pnp2,-9.708084084990645,0.003477895264186134
vein endothelial cell,A630007B06Rik,10.450360645552006,0.005358831031170722
vein endothelial cell,Tmem131,10.506362447571439,0.0060451055786910615
vein endothelial cell,Dmap1,9.72802412460434,0.0060451055786910615
vein endothelial cell,Nr4a2,12.752695320407495,0.0061329419311269414
vein endothelial cell,Fam107b,-11.402589095062924,0.0061329419311269414
vein endothelial cell,Pcyt2,9.921793442499666,0.0061329419311269414
vein endothelial cell,Zbtb43,-11.206968188369679,0.008316708883393547
vein endothelial cell,Syne2,4.991537144454949,0.008316708883393547
vein endothelial cell,Rrp1b,10.84971803757362,0.010908501381239442
