,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
H2-Aa,265111.1731262343,2.911012013886451,0.627390230377502,4.639874631351669,3.486206058675874e-06,0.0009740156579587464,H2-Aa
Gm6634,105.01032076399905,5.915775740745309,1.2780764082505347,4.628655769370613,3.6804696742991878e-06,0.0009887813413547795,Gm6634
Eepd1,142.89148084144142,7.77575454978044,1.6801704325752427,4.6279558305655515,3.6929275120626687e-06,0.0009887813413547795,Eepd1
Cfl1,98255.1855275306,1.701573002036643,0.36992140620364655,4.599823025921093,4.228500202295396e-06,0.0011090751959163352,Cfl1
Snhg9,19.86294288896681,-4.291581988303054,0.9357333886586593,-4.586329867372677,4.511056781727872e-06,0.0011595220351753323,Snhg9
H2-Ab1,248996.605412148,2.1728847558825994,0.4756561697441593,4.568183688338,4.919688020347122e-06,0.0012397613811274749,H2-Ab1
Fibin,29889.231140629174,-2.0136456953880297,0.4412017870520847,-4.564001675610428,5.018767774563983e-06,0.0012404077584364675,Fibin
Abat,233.2233834558362,7.498872916353273,1.645985062270521,4.555857211735022,5.217237001666693e-06,0.0012651307536871762,Abat
Gstm6,135.98052572215911,8.082775990403544,1.7854866545905852,4.526931618123428,5.984629501588475e-06,0.0014243418213780571,Gstm6
Zmynd17,55.790840200329775,6.803386821280575,1.5072645833450535,4.5137309643287065,6.369701054043021e-06,0.0014884254172101983,Zmynd17
Ldoc1l,248.0483936900112,6.701534594240997,1.4890905805821892,4.500421050021618,6.781899084144139e-06,0.0015564458398110799,Ldoc1l
Rxra,1013.4667612232489,2.98598441162787,0.6697671276735455,4.458242705938359,8.263430713643005e-06,0.0018631861672235071,Rxra
Wfdc8,122.94633172344211,-11.650145819991021,2.6166157808068475,-4.452371611241539,8.492702111602057e-06,0.0018818656472122351,Wfdc8
Tnnt2,328.41729360806534,9.144178459055086,2.0645750389757342,4.429085059360036,9.463369702050878e-06,0.0020534613357565622,Tnnt2
H2-DMb1,36627.46078587958,2.0819922426117046,0.4703693385369755,4.4262924303005775,9.58665422855538e-06,0.0020534613357565622,H2-DMb1
Lenep,89.03307786808656,7.325386952513781,1.659486205434287,4.414249982027859,1.013607809804719e-05,0.0021011108986468143,Lenep
Bbc3,3412.034340322116,2.7970187828046855,0.6334440245932638,4.415573711664041,1.007424427692803e-05,0.0021011108986468143,Bbc3
Obsl1,244.35312931257099,-5.889693144361921,1.3388331683977888,-4.399124015884852,1.086887054945139e-05,0.0022172495920880836,Obsl1
4930413G21Rik,362.08708262803594,2.6500137725470396,0.6034657768131123,4.3913240391885955,1.1266249062764131e-05,0.0022624036399163223,4930413G21Rik
Irf6,65.14293229068846,6.355445028483651,1.4531408568545994,4.3735918637924405,1.2221877975127969e-05,0.002379932965702192,Irf6
Prnd,298.50348806771683,9.734083504894768,2.2241970013367065,4.376448443660674,1.2062870731367257e-05,0.002379932965702192,Prnd
Dok3,104.7749095650055,7.298932008291952,1.6732799134188014,4.362050813948376,1.2884893322818761e-05,0.002471591775893533,Dok3
Acot6,154.08981649510386,8.258572031121952,1.901832436310152,4.342428845700442,1.4091613086311915e-05,0.002663314873312952,Acot6
1190002N15Rik,1042.1466438311115,-3.173640487128443,0.7335014251012553,-4.326699824325961,1.5136000808679936e-05,0.002798321922878156,1190002N15Rik
Grasp,5949.909964224181,1.1615405834999786,0.26855372036796077,4.325170330571051,1.5241404808704554e-05,0.002798321922878156,Grasp
Fbxl16,155.72725173071436,8.222147434905555,1.9051805381840519,4.315678892428013,1.5911313384163282e-05,0.002880171825538965,Fbxl16
Zkscan2,82.67794597106646,7.8828025290947386,1.8343173921838036,4.297403798646892,1.7281022013310008e-05,0.003003706628154007,Zkscan2
Stambpl1,199.4955691484001,4.304150794684941,1.0010935320163845,4.299449209321729,1.71223109027232e-05,0.003003706628154007,Stambpl1
Serinc3,24361.734837406682,-2.1531743712851394,0.5010615199668295,-4.297225561100123,1.7294918338266147e-05,0.003003706628154007,Serinc3
Tgfbr3,5470.83625716053,-1.1981006608002236,0.28027395956763873,-4.27474840205797,1.913532576585979e-05,0.0032358842992477634,Tgfbr3
Rasl10a,146.3095208532148,8.705848327662638,2.0363244756345864,4.275275591798604,1.9090100276021924e-05,0.0032358842992477634,Rasl10a
Psat1,104.19739691056462,4.923651014716357,1.1530032488198299,4.27028373055845,1.9522444869420985e-05,0.0032584735254779025,Psat1
9430008C03Rik,181.26545148795086,3.220423893002033,0.7563871395953387,4.257639672092965,2.0659658511457443e-05,0.003404076040887834,9430008C03Rik
Crlf2,1802.446198607588,1.677648874416109,0.39517267199930606,4.24535650688683,2.1824614032302228e-05,0.0035505055638373195,Crlf2
Ccdc92,550.6739490624545,5.208813288379325,1.2303071637990755,4.233750271188366,2.2982615026105278e-05,0.003692157103943813,Ccdc92
