,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
Pcf11,195.5849064584597,5.708119691445653,1.49849596859574,3.809232597932716,0.00013939877507132697,0.008726363319465068,Pcf11
Alox12,747.1604679880442,12.434841116745595,3.267815665560948,3.8052455797291893,0.00014166356443643427,0.008797757077103953,Alox12
Cd36,12972.457485342313,3.1735683210348746,0.8355616717650614,3.7981257736858005,0.000145794342705934,0.008982997887196328,Cd36
Scmh1,290.2426339142094,-6.448258364226245,1.7020727201920935,-3.7884740691329,0.00015157540980913008,0.00926623110747221,Scmh1
Agfg1,348.75236801198986,7.143727361822615,1.8880504208825324,3.7836528531284763,0.0001545433398505276,0.009374431273878903,Agfg1
Vhl,230.19590477358634,10.736487180611736,2.8395987963200007,3.7809873685415583,0.00015620760059871662,0.009402495959115059,Vhl
Kdr,1132.405355916291,5.607484836879219,1.4862497646694433,3.7729088139680074,0.00016135527234010188,0.009613099356329435,Kdr
Sp2,287.70760337738005,7.508567368968736,1.9907845066908352,3.771662549981258,0.00016216346518025372,0.009613099356329435,Sp2
Arrdc2,151.60687798374573,-11.577013916302226,3.072491749627369,-3.7679560629271935,0.00016458966197835373,0.009683564699102391,Arrdc2
Gas5,1121.306131040875,-2.6011236406644387,0.691300518037026,-3.762652526357752,0.00016812071110461495,0.00981749674920606,Gas5
Vps35,496.8801202325986,5.234439088497265,1.3943433997583532,3.7540530470502596,0.0001739980153177021,0.010085440517489028,Vps35
AI987944,372.3103025177148,10.13053126381062,2.7044031980920016,3.745939684939682,0.00017971977117709062,0.01034049418721128,AI987944
Bmp6,2499.095071229556,2.217901429838567,0.5925525330037228,3.74296168914467,0.00018186396531006223,0.010387485609863044,Bmp6
Trit1,187.29587381410667,-10.518614681491568,2.8187793181534384,-3.731620497479113,0.0001902519680554541,0.010787838043724119,Trit1
Actr3,1665.0930125448406,2.5628698328296706,0.6877045191549777,3.726702037640842,0.00019400157303834915,0.010879951454518455,Actr3
Lins,133.36515266176244,-8.340757399425684,2.238618004776442,-3.7258511195877864,0.0001946572784194995,0.010879951454518455,Lins
Efnb1,1252.5389230841836,4.863740055820456,1.3117407755534605,3.707851540841449,0.00020902513257422273,0.011600153633994985,Efnb1
Trim35,1517.1298095905686,2.504685329134345,0.6758733263425315,3.7058502407372336,0.00021068276661782124,0.011609807385805995,Trim35
Fbxl22,164.00434811509402,-11.690003650492544,3.1688075207826114,-3.689086059605609,0.0002250610859947605,0.01224761735776424,Fbxl22
Prkcd,526.0909973792013,4.059114155712938,1.1004134506177445,3.6887173211434785,0.00022538746319719497,0.01224761735776424,Prkcd
S100a6,2381.516669139404,-2.428624445192027,0.6592617314839583,-3.683854725990754,0.0002297332041856138,0.012312755635290601,S100a6
Wdr8,307.4600122039499,11.153804785674177,3.0272795961077765,3.684431659373257,0.0002292135126818539,0.012312755635290601,Wdr8
Sec16a,218.56358811131324,6.859950854854096,1.866384000452236,3.675530251648047,0.00023735591167132127,0.012465167844483819,Sec16a
Eps8,196.43896894946533,10.507421577717034,2.8579446503780352,3.676565806243715,0.00023639489444587141,0.012465167844483819,Eps8
Tmeff1,150.7947632707336,6.851057188012901,1.8632319522078415,3.676974935887463,0.00023601622035519877,0.012465167844483819,Tmeff1
Dcaf8,1398.417687946335,3.7813336543030545,1.0317217510944872,3.6650711786309444,0.000247269802939388,0.012899241386671405,Dcaf8
Mrps27,970.1090617275645,3.734299006236883,1.0220984745204666,3.653560884129963,0.0002586284263208343,0.013227238143532867,Mrps27
Tmem189,371.94888915545977,7.090425591391409,1.9390701754980677,3.6566111329984072,0.00025557163726686104,0.013227238143532867,Tmem189
Eng,31534.330464533046,2.199246361046178,0.6019044526651622,3.653813078318616,0.0002583743971614051,0.013227238143532867,Eng
Hist1h2ac,259.4424186886314,-12.351781555452163,3.3861529238062924,-3.647732938643487,0.0002645644201752719,0.01335623605078389,Hist1h2ac
Sntb1,631.1962164183493,12.19139350675851,3.3408419745728772,3.6491978966820677,0.0002630603999475262,0.01335623605078389,Sntb1
Erg,1173.0036234458062,3.970828379031997,1.0914361423020005,3.638168304246304,0.0002745839729776263,0.013773202490704654,Erg
Hivep2,149.37747813245082,8.804611373686548,2.425245221226311,3.630400462858988,0.0002829818206246253,0.014104030231768743,Hivep2
Slc39a6,481.11808472954493,7.598738177652366,2.0975884514946364,3.6226067950735934,0.0002916489876062178,0.014444008405181357,Slc39a6
Rpl41,5886.674317100339,-2.375747695955688,0.6568205644017175,-3.617042194955788,0.0002979887416913373,0.014482993190898848,Rpl41
Myst3,812.2479668564038,3.2577212143755183,0.9001255350151016,3.6191854220876674,0.0002955318299455491,0.014482993190898848,Myst3
Abl1,335.85842295131755,11.281049410062797,3.1179758015032375,3.6180683007943752,0.0002968100767776863,0.014482993190898848,Abl1
Eps8l1,197.010002437955,9.208243231398233,2.548375996497296,3.613377007182152,0.00030223475297448107,0.014598684827316756,Eps8l1
Top3b,467.2999402142812,5.445018392107183,1.5091550839722996,3.6079912859420395,0.0003085768514758128,0.01481358198035727,Top3b
Pdgfb,659.1721752246586,5.356922204736768,1.486777242128721,3.6030429125124988,0.0003145135805174849,0.01491556828817769,Pdgfb
Thrsp,333.5812840065621,9.482616736606579,2.631157990513063,3.6039708640823633,0.00031339220320380443,0.01491556828817769,Thrsp
Gprasp1,300.3531046908034,8.180824666360015,2.280185275236392,3.5877894464132485,0.000333493424242845,0.01572039785964013,Gprasp1
Sparcl1,7691.482360250175,4.326701781876376,1.207659736263858,3.5827159355845644,0.00034004032165527203,0.015933027047619782,Sparcl1
Fam134b,120.75952080798554,-9.770613044998598,2.7307353407611625,-3.5780153789181,0.0003462130851440932,0.01612569875745553,Fam134b
