,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
Rg9mtd1,245.09194823162687,-9.2311231847045,1.999466799232892,-4.61679243098514,3.897167187935786e-06,0.0006189351022306684,Rg9mtd1
Fam53a,565.801526355752,-9.449581420961767,2.052721733857721,-4.603440040167052,4.155688789532392e-06,0.0006491730897615438,Fam53a
Parn,712.1609301208848,-13.21994211226144,2.8859399637741934,-4.580809815243897,4.631789078112083e-06,0.0007005764781798418,Parn
Sp3,208.33292402215352,-10.003941539445625,2.182875740688205,-4.582918465295527,4.585308647996379e-06,0.0007005764781798418,Sp3
P4ha1,441.69719370476685,-9.07880630598986,1.9851244057546935,-4.573419318039329,4.798284987768095e-06,0.000714419650756909,P4ha1
Stxbp3a,688.594086996636,-13.171386684119263,2.885809743623178,-4.56419093920668,5.014242776556415e-06,0.0007350879910431703,Stxbp3a
Pigk,574.1846242877456,-8.871436708012949,1.9509611077285038,-4.547213510751082,5.436084330129247e-06,0.0007503632454543704,Pigk
Pkn3,706.8285788387882,-13.208953965567776,2.907967463380057,-4.542332103748656,5.563530271207791e-06,0.0007503632454543704,Pkn3
Ndrg2,575.6250668777986,-9.138974975455323,2.0124150126476525,-4.541297355673941,5.5909109483954556e-06,0.0007503632454543704,Ndrg2
Pcdhgc3,677.760000790897,-13.148514514907276,2.8918308816236244,-4.5467785126926294,5.447327032993468e-06,0.0007503632454543704,Pcdhgc3
Pfkl,858.261232686275,-13.489199737836344,2.9677455003033857,-4.545268364978525,5.486530453107557e-06,0.0007503632454543704,Pfkl
Cdh13,818.3772385707713,-13.42033536101788,2.9516071131102666,-4.546789205585074,5.44705040413747e-06,0.0007503632454543704,Cdh13
Gpr180,699.7763081715947,-13.194486705749542,2.909316885340237,-4.53525250969919,5.753460902056742e-06,0.0007614545685513708,Gpr180
Ace,519.2061672445259,-9.00347520539304,1.9867332999200302,-4.53179860918194,5.848359231516832e-06,0.0007634111659879986,Ace
Zfp318,665.6830129331939,-13.122591004358618,2.905456548439685,-4.51653321451523,6.2860261258940605e-06,0.000809453283157358,Zfp318
Ppip5k2,433.7944220521326,-9.480878846354925,2.100490470717067,-4.513650015807182,6.372133935713689e-06,0.0008096008569788766,Ppip5k2
Cacna2d3,307.1059515134561,-9.567381461167592,2.121855503091878,-4.508969365362726,6.514331358402251e-06,0.0008167771515028296,Cacna2d3
Lztr1,1199.3667352493387,-4.72929822833122,1.0520802995823362,-4.495187515828114,6.950866564374906e-06,0.0008601923050899803,Lztr1
Rell1,274.5911375499275,-8.397441896315897,1.8733791314519357,-4.4825106436450906,7.376996214111471e-06,0.0009012230374906181,Rell1
Ttyh1,610.318294352521,-12.997298979724597,2.90253165762299,-4.477918077341025,7.537451383300081e-06,0.0009091692940691958,Ttyh1
Mtfp1,825.6977875224413,13.064438954834063,2.924678053664442,4.466966522508392,7.93365392258728e-06,0.0009429865262524203,Mtfp1
Ipo7,226.99498863835203,-10.128233425617847,2.2692600920599117,-4.463231632661368,8.073269623083299e-06,0.0009429865262524203,Ipo7
Aen,582.0405752140978,-12.928769444776986,2.8991275445662636,-4.459537997563763,8.213651136420494e-06,0.0009429865262524203,Aen
4930444A02Rik,434.0562035870636,-8.744413138602528,1.959884550887126,-4.461698080452974,8.13127359618303e-06,0.0009429865262524203,4930444A02Rik
Sf3b3,352.36687414877827,-5.107518607946908,1.1487763661055648,-4.446051258228585,8.74630873934111e-06,0.0009470860906497891,Sf3b3
Rras2,577.5865849847677,-12.91766980586621,2.9049810094748456,-4.446731239802986,8.718680665618302e-06,0.0009470860906497891,Rras2
Socs2,591.7266256919341,-12.952543859627543,2.9101683843108246,-4.450788459340272,8.5555587466606e-06,0.0009470860906497891,Socs2
Rabgef1,518.056510060672,-6.005649902586963,1.3494403989600934,-4.45047436494049,8.568082130417278e-06,0.0009470860906497891,Rabgef1
Ints5,576.6891790730799,-12.915512007754918,2.902971432389011,-4.449066175317493,8.624444287203795e-06,0.0009470860906497891,Ints5
Tmem123,424.58971292901936,-5.268109944839931,1.1885492232998942,-4.432386847398313,9.319561385796351e-06,0.0009978213533174542,Tmem123
A830007P12Rik,687.4320567985462,-13.169015827184207,2.9766830016255823,-4.424057187141707,9.686436152881701e-06,0.0010255783344534414,A830007P12Rik
Hsph1,668.9125435795332,-13.129371323791245,2.969765485730724,-4.421012833126352,9.823933846993902e-06,0.0010287062156923614,Hsph1
Il20rb,547.0286461144503,-12.8393207617099,2.908089131699006,-4.4150368782571405,1.00992771914975e-05,0.0010347958318040827,Il20rb
Rpp30,190.78991914684173,-9.872995629994767,2.2359352946775934,-4.4155998849771665,1.0073025313499598e-05,0.0010347958318040827,Rpp30
Api5,705.2656443870555,-4.894401973028176,1.1101120516377425,-4.408926077153644,1.0388447418131252e-05,0.0010524924717612869,Api5
Tmem50b,522.0873405221023,-7.317077379983435,1.6604215869041261,-4.406758763975241,1.0492893778709438e-05,0.0010524924717612869,Tmem50b
Ptpn23,397.9064725012666,9.227710174282237,2.096522853776305,4.401435528194255,1.0753702282832647e-05,0.001067416969303253,Ptpn23
Gpsm2,676.0000452590477,-5.400670020155098,1.2286971798539144,-4.39544430369508,1.105464068870004e-05,0.0010822001835458657,Gpsm2
Dhx9,152.83431447891414,-7.548539642085185,1.7180493769448222,-4.3936686240698295,1.1145366472384852e-05,0.0010822001835458657,Dhx9
Nrip1,1055.634642144461,-4.612216573085239,1.0501962287450572,-4.391766459299377,1.1243343285868477e-05,0.0010822001835458657,Nrip1
Decr1,552.9507692166477,-12.854744436535722,2.9304529297331983,-4.38660669349365,1.1513270206297036e-05,0.0010970995179580445,Decr1
Cpt2,1024.6702885328825,-13.744651154596601,3.1367584138819864,-4.381800999964964,1.1770229175981344e-05,0.0011104803348309527,Cpt2
1810026J23Rik,519.3064538871242,-12.764242499809168,2.9162346989088066,-4.376959956132913,1.2034607371362675e-05,0.0011242918984481856,1810026J23Rik
2310003H01Rik,262.3854976301935,-8.742304202949521,2.007327873017648,-4.355194943717429,1.329485472156049e-05,0.0011852137148587346,2310003H01Rik
Iigp1,322.8561364916576,-5.395266595044897,1.2388762285093382,-4.35496821303665,1.3308622886964488e-05,0.0011852137148587346,Iigp1
E130311K13Rik,620.8396710721929,12.653045663902436,2.901946934777787,4.3601919498473976,1.2994840225745679e-05,0.0011852137148587346,E130311K13Rik
Copg2,670.4926485641491,-13.133031320380136,3.0155960411266958,-4.355036663157753,1.330446483730337e-05,0.0011852137148587346,Copg2
Creb3l2,1024.4007661789983,-8.831442978432458,2.0267054654425123,-4.357536469416978,1.3153458652503983e-05,0.0011852137148587346,Creb3l2
Trip6,764.2956944505427,-13.321671260471062,3.061695854847524,-4.351075969671878,1.3547110068591356e-05,0.0011952815911445095,Trip6
Ikbip,598.610911191057,-5.124881076766443,1.1798924926442818,-4.3435152852621055,1.402207164897863e-05,0.001225837804982728,Ikbip
Spg11,546.4863264182758,-8.576838970789955,1.9783663193612229,-4.335313883406211,1.4555228045091798e-05,0.0012495204328079256,Spg11
Mt1,312.5512441753493,-8.994987901128006,2.074185641117684,-4.336635893536037,1.4467999224405714e-05,0.0012495204328079256,Mt1
